name,team,HR
Willy Adames,San Francisco Giants,5
Mike Yastrzemski,San Francisco Giants,5
Luis Matos,San Francisco Giants,4
Tyler Fitzgerald,San Francisco Giants,2
Sam Huff,San Francisco Giants,2
Patrick Bailey,San Francisco Giants,1
Christian Koss,San Francisco Giants,1
LaMonte Wade Jr.,San Francisco Giants,1
Hunter Goodman,Colorado Rockies,10
Jordan Beck,Colorado Rockies,8
Ryan McMahon,Colorado Rockies,7
Mickey Moniak,Colorado Rockies,6
Michael Toglia,Colorado Rockies,6
Brenton Doyle,Colorado Rockies,5
Ezequiel Tovar,Colorado Rockies,3
Kyle Farmer,Colorado Rockies,2
Adael Amador,Colorado Rockies,1
Orlando Arcia,Colorado Rockies,1
Sean Bouchard,Colorado Rockies,1
Tyler Freeman,Colorado Rockies,1
Braxton Fulford,Colorado Rockies,1
Sam Hilliard,Colorado Rockies,1
Nick Martini,Colorado Rockies,1
Zac Veen,Colorado Rockies,1
Tyler Soderstrom,Athletics,14
Brent Rooker,Athletics,13
Shea Langeliers,Athletics,10
Lawrence Butler,Athletics,9
Jacob Wilson,Athletics,8
JJ Bleday,Athletics,7
Luis Urías,Athletics,6
Nick Kurtz,Athletics,5
Max Muncy,Athletics,4
Miguel Andujar,Athletics,3
Taylor Ward,Los Angeles Angels,18
Logan O'Hoppe,Los Angeles Angels,14
Jo Adell,Los Angeles Angels,12
Zach Neto,Los Angeles Angels,10
Mike Trout,Los Angeles Angels,10
Jorge Soler,Los Angeles Angels,8
Yoán Moncada,Los Angeles Angels,6
Kyren Paris,Los Angeles Angels,6
Matthew Lugo,Los Angeles Angels,3
Nolan Schanuel,Los Angeles Angels,3
Shohei Ohtani,Los Angeles Dodgers,23
Andy Pages,Los Angeles Dodgers,12
Teoscar Hernández,Los Angeles Dodgers,10
Mookie Betts,Los Angeles Dodgers,9
Tommy Edman,Los Angeles Dodgers,9
Freddie Freeman,Los Angeles Dodgers,9
Max Muncy,Los Angeles Dodgers,9
Enrique Hernández,Los Angeles Dodgers,7
Will Smith,Los Angeles Dodgers,6
Michael Conforto,Los Angeles Dodgers,3
Fernando Tatis Jr.,San Diego Padres,13
Gavin Sheets,San Diego Padres,11
Manny Machado,San Diego Padres,10
Jackson Merrill,San Diego Padres,5
Jake Cronenworth,San Diego Padres,4
Luis Arraez,San Diego Padres,3
Xander Bogaerts,San Diego Padres,3
Elias Díaz,San Diego Padres,3
Jason Heyward,San Diego Padres,2
Martín Maldonado,San Diego Padres,2
Cal Raleigh,Seattle Mariners,26
Jorge Polanco,Seattle Mariners,10
Julio Rodríguez,Seattle Mariners,10
Rowdy Tellez,Seattle Mariners,9
Dylan Moore,Seattle Mariners,8
Randy Arozarena,Seattle Mariners,7
J.P. Crawford,Seattle Mariners,5
Luke Raley,Seattle Mariners,2
Leody Taveras,Seattle Mariners,2
Ryan Bliss,Seattle Mariners,1
Dominic Canzone,Seattle Mariners,1
Mitch Garver,Seattle Mariners,1
Miles Mastrobuoni,Seattle Mariners,1
Ben Williamson,Seattle Mariners,1
Corbin Carroll,Arizona Diamondbacks,19
Eugenio Suárez,Arizona Diamondbacks,18
Ketel Marte,Arizona Diamondbacks,12
Lourdes Gurriel Jr.,Arizona Diamondbacks,9
Josh Naylor,Arizona Diamondbacks,7
Geraldo Perdomo,Arizona Diamondbacks,7
Tim Tawa,Arizona Diamondbacks,6
Gabriel Moreno,Arizona Diamondbacks,4
Pavin Smith,Arizona Diamondbacks,4
Randal Grichuk,Arizona Diamondbacks,3
