Name,Team,Hrs,Hits,RBI,HRpg,fHRpg,Hpg,fHpg,RBIpg,fRBIpg,HR24,HR24pg,fHR24pg
Austin Hays,Cincinnati Reds,6,36,25,0.194,1/5,1.161,7/6,0.806,4/5,5,0.06,0,3,0.05,0,2,0.09,1/7
Spencer Steer,Cincinnati Reds,6,62,26,0.083,1/7,0.861,6/7,0.361,1/3,20,0.13,1/7
Tyler Stephenson,Cincinnati Reds,6,36,24,0.15,1/7,0.9,6/7,0.6,3/5,19,0.14,1/7
Christian Encarnacion-Strand,Cincinnati Reds,5,20,12,0.185,1/5,0.741,3/4,0.444,3/7,2,0.07,0
Jake Fraley,Cincinnati Reds,5,28,17,0.106,1/7,0.596,3/5,0.362,1/3,5,0.04,0
Gavin Lux,Cincinnati Reds,4,61,34,0.056,0,0.859,6/7,0.479,1/2,10,0.07,0
Jose Trevino,Cincinnati Reds,4,44,15,0.082,1/7,0.898,6/7,0.306,1/3,8,0.11,1/7
Junior Caminero,Tampa Bay Rays,19,75,50,0.26,1/4,1.027,1,0.685,2/3,6,0.14,1/7
Brandon Lowe,Tampa Bay Rays,15,74,42,0.205,1/5,1.014,1,0.575,4/7,21,0.2,1/5
Yandy Díaz,Tampa Bay Rays,12,83,44,0.167,1/6,1.153,8/7,0.611,3/5,14,0.1,1/7
Jonathan Aranda,Tampa Bay Rays,8,79,41,0.11,1/7,1.082,8/7,0.562,4/7,6,0.14,1/7
Danny Jansen,Tampa Bay Rays,7,32,19,0.135,1/7,0.615,3/5,0.365,2/5,9,0.1,1/7,3,0.1,1/7,6,0.1,1/7
Christopher Morel,Tampa Bay Rays,6,35,18,0.105,1/7,0.614,3/5,0.316,1/3,21,0.14,1/7,18,0.17,1/6,3,0.06,0
Kameron Misner,Tampa Bay Rays,5,42,22,0.07,0,0.592,3/5,0.31,1/3,0,0.0,0
Josh Lowe,Tampa Bay Rays,4,29,12,0.114,1/7,0.829,5/6,0.343,1/3,10,0.09,1/7
Curtis Mead,Tampa Bay Rays,3,24,8,0.071,0,0.571,4/7,0.19,1/5,1,0.03,0
José Caballero,Tampa Bay Rays,2,39,22,0.031,0,0.609,3/5,0.344,1/3,9,0.06,0
Taylor Walls,Tampa Bay Rays,2,39,25,0.03,0,0.591,3/5,0.379,2/5,1,0.01,0
Vinnie Pasquantino,Kansas City Royals,11,79,41,0.143,1/7,1.026,1,0.532,1/2,19,0.15,1/7
Bobby Witt Jr.,Kansas City Royals,10,87,40,0.128,1/7,1.115,8/7,0.513,1/2,32,0.2,1/5
Salvador Perez,Kansas City Royals,9,68,41,0.122,1/7,0.919,6/7,0.554,4/7,27,0.17,1/6
Maikel Garcia,Kansas City Royals,8,87,36,0.105,1/7,1.145,8/7,0.474,1/2,7,0.04,0
Jonathan India,Kansas City Royals,4,64,22,0.057,0,0.914,6/7,0.314,1/3,15,0.1,1/7
Kyle Isbel,Kansas City Royals,3,45,15,0.044,0,0.662,2/3,0.221,1/5,8,0.06,0
