Jim Johnson,OAK
Marion Cain,PC
Jacob Amaya,HOU
Justin Wayne,FLA
Frank Robinson,CAL
Sam Dungan,CHC
Brooks Baldwin,CHW
Harry Shanley,SLB
Dave Freisleben,CLE
Juan Rincón,COL
Will Venable,LAD
Tom Dunbar,TEX
Héctor Carrasco,CIN
Bobby Henrich,CIN
Phil Lewis,BRO
Bob McGraw,NYY
Wade Boggs,BOS
Jim Kennedy,STL
Larry Kimbrough,PS
Dan Reichert,KCR
Wally Gerber,BOS
José Lobatón,CHC
Chris Michalak,CIN
Pete Richert,LAD
Frank McAllister,NBY
Bobby Knoop,CHW
Johan Oviedo,PIT
Bob Chipman,BRO
Abraham Núñez,FLA
Hal Manders,CHC
Wilson Betemit,CHW
Jay Difani,WSH
Danny Jackson,CIN
Manny Trillo,CIN
Oscar Boone,CAG
Bill North,OAK
John Candelaria,CAL
Mark Carreon,SFG
Larry McLean,BOS
Tommie Agee,CHW
Brad Harman,PHI
Mark Ciardi,MIL
Rodolfo Castro,PHI
Kevin Shackelford,CIN
Belve Bean,WSH
Ted Radcliffe,KCM
William Houseman,BAL
J.D. Drew,BOS
Larry Yellen,HOU
Lefty Calhoun,MGS
Alan Ashby,CLE
George Mullin,NEW
Jim Busby,BAL
Rocky Colavito,KCA
John D'Acquisto,OAK
Homer Bush,NYY
Bobby Wilson,TBR
Tommy Pham,NYM
Erve Beck,CIN
Craig Dingman,COL
George Grantham,CHC
Gary Pettis,TEX
René Rivera,ATL
Bob Addy,PHI
Frank Robinson,CLE
Shane Carle,ATL
Todd Erdos,BOS
Jim Owens,CIN
Elmer Tutwiler,PIT
Jim Walsh,DET
Rico Garcia,COL
Larry Andersen,SDP
Jesús Colomé,SEA
Larry Bigbie,STL
Jerry Goff,PIT
Lefty Phillips,BEG
Lefty Hoerst,PHI
Aaron Laffey,NYY
Bill Evans,CHT
Don Bollweg,STL
Austin Meadows,DET
John Bateman,MON
Frank Kreutzer,CHW
John McMillon,KCR
Caleb Frare,CHW
Harrington,BBB
Stu Tate,SFG
Luis Terrero,CHW
Bob Dillinger,CHW
Wes Parsons,COL
Brad Halsey,ARI
Josh Smoker,PIT
Joe Nolan,ATL
Mike Freeman,CHC
Neftalí Feliz,PHI
Red Ryan,BBS
Tom Walsh,CHC
Randy Velarde,OAK
Pat Dillard,STL
C.J. Nitkowski,ATL
Nick Burdi,PIT
Roger Deago,SDP
Albie Pearson,WSH
Zach Thompson,PIT
Ray Hayward,TEX
Wirt Cannell,BSN
Erasmo Ramirez,FLA
Rudy Seánez,PHI
Bobby Wilson,TEX
Denny Driscoll,BUF
Dave Madison,SLB
Bill McCall,ABC
Sammy Taylor,NYM
Brennan Bernardino,SEA
Luis Campusano,SDP
Don Gutteridge,BOS
Mutt Wilson,DET
Neil Berry,BAL
Juan Beníquez,BAL
Sean Marshall,CIN
Donnie Elliott,SDP
Bud Mitchell,BBS
Fred Breining,MON
Eric Lauer,SDP
Lew McCarty,BRO
Vin Campbell,CHC
Willie Hogan,SLB
Gail Harris,NYG
Calvin Murray,SFG
Matt Clark,MIL
Tom Prince,KCR
Joe Mays,MIN
Travis Taijeron,NYM
Dewey Creacy,WAP
Rocky Childress,PHI
Guillermo Mota,NYM
Steven Okert,MIA
Prince Oana,DET
Alex Ríos,TOR
Enos Cabell,LAD
Sun-Woo Kim,MON
John Shelby,DET
Frank Beck,BLU
Rey Sánchez,SEA
Henry Clarke,CLV
Dick Phelan,SLM
Trea Turner,PHI
Rich Rodriguez,ANA
Johnny Klippstein,CLE
Ted Cather,STL
Steve Fireovid,SEA
Walt Huntzinger,NYG
Ray Pierce,PHI
Jim Hughey,STL
Clay Hensley,SFG
Kermit Dial,CBB
José Osuna,PIT
Brett Jackson,CHC
Chuck Harmon,CIN
Lucas Duda,ATL
Sammy Vick,BOS
Frank Stevens,CAG
Pat Zachry,LAD
Adeiny Hechavarría,NYM
Dooley Womack,NYY
Red Barrett,STL
Nook Logan,DET
Harry Niles,CLE
Grant Anderson,TEX
Frank Abercrombie,TRO
Jack Manning,BAL
Jay Hughes,BLN
Pat Rice,SEA
Charlie Morton,ATL
Jack Quinn,CHW
Jay Porter,DET
George Blackburn,BLN
Bobby Bragan,PHI
Frank Owen,DET
Jim Proctor,DET
Tim Peterson,NYM
John Middleton,CLE
Bob Walk,PHI
Charley Williams,MRS
Doc Martell,PHI
Bob Usher,CLE
Justin Bour,PHI
Ossee Schrecongost,LOU
Joe Wilhoit,PIT
Kevin Siegrist,STL
Ossie Orwoll,PHA
Bill Stumpf,NYY
Pat Whitaker,BAL
Les Layton,NYG
Del Ennis,STL
Denny Lemaster,HOU
Spenser Watkins,OAK
Red Embree,SLB
Jon Garland,LAA
Charlie Gettig,NYG
Gene Leek,CLE
Mike O'Berry,BOS
James Abernathy,IC
Ed Mincher,NAT
Frank McGinn,PIT
Taylor Hearn,ATL
Harl Maggert,PIT
Scott Sullivan,KCR
Joe Hesketh,MON
Luke Nelson,NYY
Steve Fireovid,PHI
Ryan Dennick,CIN
Kiki Cuyler,CIN
George Hinshaw,SDP
Fernando Arroyo,DET
Mike Milchin,BAL
Nick Duron,PHI
George Leitner,NYG
Jerry Nops,BLN
Ben Chapman,CLE
Davy Force,BAL
Gus Mancuso,PHI
Don Zimmer,WSA
Deacon McGuire,BRO
Warren,KCM
Dallas Green,WSA
Dale Berra,PIT
Ed Klieman,WSH
Dan Coogan,WHS
Óscar Henríquez,FLA
Nap Lajoie,PHI
Mike Lum,ATL
Randy Choate,LAD
Mike MacDougal,KCR
Bret Boone,CIN
Billy Jurges,NYG
Bob Melvin,KCR
Morgan Murphy,PIT
Bryan Price,CLE
JT Riddle,CIN
Dick Teed,BRO
Fred Treacey,ATH
Hercules Burnett,LOU
Franklin Stubbs,HOU
Taylor Duncan,STL
Domingo Cedeño,TOR
John Thomson,TEX
Taylor Walls,TBR
George Meakim,PHA
Bill McAllester,SLB
Marlan Coughtry,LAA
Michael Siani,CIN
Billy Hamilton,BSN
Chance Ruffin,SEA
Willie Nixon,JRC
Tyler Kinley,MIN
Brandon Harper,WSN
Mike Lowell,NYY
Mike Matthews,CIN
Bob Gamble,PHA
Wayne Twitchell,MON
Yordano Ventura,KCR
Ray Culp,BOS
Chris Sabo,CHW
Mark Guthrie,NYM
Jordan Weems,OAK
Julian Aguiar,CIN
Jim Dwyer,BAL
Brooks Kriske,NYY
Craig Shipley,HOU
Jake Wade,NYY
Pat Borders,TOR
Brett Anderson,COL
Cy Acosta,CHW
Stan Javier,HOU
Billy Wagner,BOS
Kevin Hart,PIT
Al Jones,CAG
Kirby Higbe,BRO
Brandon Hicks,OAK
Quinton McCracken,CIN
Steven Souza Jr.,CHC
Dick Nen,WSA
Ona Dodd,PIT
Lyman Lamb,SLB
Scott Schebler,LAA
Bill Sweeney,PHA
Jerry Willard,ATL
Curt Young,OAK
Miguel Ojeda,SDP
Chet Brewer,KCM
Bert Daly,PHA
Lip Pike,TRO
Bruce Ruffin,COL
Bobby Klaus,NYM
Pete Magrini,BOS
Dave Magadan,FLA
Kelly Shoppach,TBR
Mel Hall,SFG
Patrick Schuster,OAK
Dan Schneider,ATL
Fred Lewis,BSN
Jim Hutto,PHI
Jeff Baker,CHC
J.D. Martinez,DET
Bernie Boland,SLB
Jhoulys Chacín,SDP
Bill Froats,DET
Ted Lilly,OAK
Clyde Beck,CIN
Everett Booe,BUF
Billy Hamilton,KCC
Zach Eflin,PHI
Jerar Encarnacion,SFG
Waite Hoyt,PHA
Ricardo Rodríguez,TEX
Brian McCann,ATL
Raúl González,CLE
Brandon Moss,BOS
Egyptian Healy,IND
Cory Gearrin,SEA
John Barnes,SLS
Ensign Cottrell,NYY
Jack Shepard,PIT
Brian Fitzgerald,SEA
David Justice,ATL
Brian O'Grady,TBR
George Hausmann,NYG
Justin Speier,CLE
Carlos Guillén,DET
Scott Sanderson,CHW
Jimmy Knowles,NYG
Butch Wynegar,MIN
Al Levine,SFG
Jay Payton,BAL
George Metkovich,BOS
Clare Patterson,CIN
Abe White,STL
Jim Sullivan,CLE
Butts Wagner,WHS
Pascual Pérez,PIT
Jack Fimple,CAL
Ralph Milliard,NYM
Tom Morrissey,DTN
Ben Dyer,DET
Larry Raines,CLE
Paul Radford,NYP
Drew Pomeranz,OAK
Stuffy McInnis,BOS
Scott Kazmir,TBD
Nat Rogers,BBB
Enzo Hernández,SDP
Harry Jordan,PIT
Claude Willoughby,PHI
Bombo Rivera,MON
Sam Long,OAK
Guy Ousley,CAG
Jason Shiell,BOS
Dick Drago,KCR
Shane Robinson,STL
José Mercedes,MIL
Neil Walker,MIA
Billy Werber,CIN
Alex Wells,BAL
