Column2,Column1,Column3
OffIce_A_shotAttempts,off_ice_against_shotAttempts,See above
OffIce_A_xGoals,off_ice_against_xGoals,See above
offIce_corsiPercentage,offIce_corsiPercentage,Off Ice Shot Attempts For / (Off Ice Shot Attempts For + Off Ice Shot Attempts Against)
OffIce_F,off_ice_for_,"""Off-ice For"". Every player on the bench of  the team doing the event receives ""credit"". OffIce_F_goals is the number of goals the player's team has scored while that player is on the bench."
OffIce_F_shotAttempts,off_ice_for_shotAttempts,See above
OffIce_F_xGoals,off_ice_for_xGoals,See above
offIce_fenwickPercentage,off_ice_for_enwickPercentage,Off Ice Unblocked Shot Attempts For / (Off Ice Unlbocked Shot Attempts For + Off Ice Unbloked Shot Attempts Against)
offIce_xGoalsPercentage,offIce_xGoalsPercentage,Off Ice xGoals For / (Off Ice xGoals For + Off Ice xGoals Against)
OnIce_A,on_ice_against_,"""On-ice Against"". Every opposing team's players on the ice on receives credit. OnIce_A_goals is the number of goals the player's team has given up while the player is on the ice"
OnIce_A_blockedShotAttempts,on_ice_against_blockedShotAttempts,See above
OnIce_A_flurryAdjustedxGoals,on_ice_against_flurryAdjustedxGoals,See above
OnIce_A_flurryScoreVenueAdjustedxGoals,on_ice_against_flurryScoreVenueAdjustedxGoals,See above
OnIce_A_goals,on_ice_against_goals,See above
OnIce_A_highDangerGoals,on_ice_against_highDangerGoals,See above
OnIce_A_highDangerShots,on_ice_against_highDangerShots,See above
OnIce_A_highDangerxGoals,on_ice_against_highDangerxGoals,See above
OnIce_A_lowDangerGoals,on_ice_against_lowDangerGoals,See above
OnIce_A_lowDangerShots,on_ice_against_lowDangerShots,See above
OnIce_A_lowDangerxGoals,on_ice_against_lowDangerxGoals,See above
OnIce_A_mediumDangerGoals,on_ice_against_mediumDangerGoals,See above
OnIce_A_mediumDangerShots,on_ice_against_mediumDangerShots,See above
OnIce_A_mediumDangerxGoals,on_ice_against_mediumDangerxGoals,See above
OnIce_A_missedShots,on_ice_against_missedShots,See above
OnIce_A_reboundGoals,on_ice_against_reboundGoals,See above
OnIce_A_rebounds,on_ice_against_rebounds,See above
OnIce_A_reboundxGoals,on_ice_against_reboundxGoals,See above
OnIce_A_scoreAdjustedShotsAttempts,on_ice_against_scoreAdjustedShotsAttempts,See above
