playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8479979,2025,Jake Oettinger,DAL,G,5on5,35,102877.0,65.91,64.0,1577.0,51.62,90.0,207.57,130.0,810.1,723.0,23.67,2.0,429.76,392.0,320.36,425.0,63.89,852.0,190.0,61.0,26.22,23.08,16.62,32.0,22.0,10.0,474.0,0.0,0.0
8479979,2025,Jake Oettinger,DAL,G,4on5,35,10249.0,20.05,19.0,258.0,13.44,26.0,31.34,23.0,143.14,127.0,0.59,0.0,81.49,73.0,40.74,51.0,17.22,124.0,36.0,32.0,3.34,4.33,12.37,3.0,4.0,12.0,66.0,0.0,0.0
8479979,2025,Jake Oettinger,DAL,G,5on4,35,8282.0,2.63,5.0,37.0,1.45,2.0,4.03,1.0,22.97,29.0,4.6,1.0,8.59,5.0,15.36,20.0,2.58,23.0,7.0,3.0,0.72,0.96,0.94,1.0,3.0,1.0,4.0,0.0,0.0
8476899,2025,Matt Murray,SEA,G,other,5,192.0,0.77,1.0,7.0,0.38,0.0,0.85,0.0,4.22,4.0,0.04,0.0,2.37,3.0,1.44,2.0,0.75,4.0,1.0,1.0,0.07,0.1,0.6,0.0,0.0,1.0,1.0,0.0,0.0
8476899,2025,Matt Murray,SEA,G,all,5,13013.0,10.78,8.0,227.0,8.21,10.0,29.76,18.0,119.2,102.0,3.42,0.0,64.92,64.0,46.36,64.0,10.44,121.0,32.0,11.0,3.32,3.7,3.75,1.0,4.0,3.0,63.0,0.0,0.0
8476899,2025,Matt Murray,SEA,G,5on5,5,10860.0,7.61,4.0,184.0,6.31,9.0,24.93,15.0,95.84,82.0,2.49,0.0,51.94,48.0,38.06,56.0,7.36,101.0,25.0,6.0,2.98,2.96,1.67,1.0,3.0,0.0,52.0,0.0,0.0
8476899,2025,Matt Murray,SEA,G,4on5,5,973.0,2.2,3.0,32.0,1.4,1.0,3.5,3.0,16.0,12.0,0.0,0.0,9.73,11.0,4.64,4.0,2.13,13.0,5.0,4.0,0.23,0.49,1.48,0.0,1.0,2.0,10.0,0.0,0.0
8476899,2025,Matt Murray,SEA,G,5on4,5,988.0,0.2,0.0,4.0,0.12,0.0,0.48,0.0,3.15,4.0,0.89,0.0,0.89,2.0,2.22,2.0,0.2,3.0,1.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8479406,2025,Filip Gustavsson,MIN,G,other,34,2071.0,4.39,8.0,57.0,2.56,3.0,6.77,6.0,34.25,35.0,1.0,0.0,18.16,14.0,11.98,14.0,4.23,27.0,14.0,4.0,1.1,1.59,1.7,3.0,4.0,1.0,12.0,0.0,0.0
8479406,2025,Filip Gustavsson,MIN,G,all,34,120588.0,92.4,86.0,2024.0,74.57,114.0,257.14,203.0,1061.4,950.0,35.92,2.0,581.48,508.0,420.46,547.0,88.2,1132.0,246.0,84.0,32.4,31.32,28.69,30.0,31.0,25.0,562.0,0.0,0.0
