DATE,TIME,AWAY_ABBREV,AWAY,HOME_ABBREV,HOME
2025-10-22,7:30 PM,DET,Detroit Red Wings,BUF,Buffalo Sabres
2025-10-22,8:30 PM,MTL,Montreal Canadiens,CGY,Calgary Flames
2025-10-22,7:00 PM,MIN,Minnesota Wild,NJD,New Jersey Devils
2025-10-23,7:00 PM,ANA,Anaheim Ducks,BOS,Boston Bruins
2025-10-23,9:00 PM,CAR,Carolina Hurricanes,COL,Colorado Avalanche
2025-10-23,9:00 PM,LAK,Los Angeles Kings,DAL,Dallas Stars
2025-10-23,9:00 PM,MTL,Montreal Canadiens,EDM,Edmonton Oilers
2025-10-23,7:00 PM,PIT,Pittsburgh Penguins,FLA,Florida Panthers
2025-10-23,8:00 PM,VAN,Vancouver Canucks,NSH,Nashville Predators
2025-10-23,7:00 PM,DET,Detroit Red Wings,NYI,New York Islanders
2025-10-23,7:00 PM,SJS,San Jose Sharks,NYR,New York Rangers
2025-10-23,7:00 PM,PHI,Philadelphia Flyers,OTT,Ottawa Senators
2025-10-23,8:00 PM,UTA,Utah Mammoth,STL,St. Louis Blues
2025-10-23,6:45 PM,CHI,Chicago Blackhawks,TBL,Tampa Bay Lightning
2025-10-23,8:00 PM,SEA,Seattle Kraken,WPG,Winnipeg Jets
2025-10-24,7:30 PM,TOR,Toronto Maple Leafs,BUF,Buffalo Sabres
2025-10-24,7:00 PM,WSH,Washington Capitals,CBJ,Columbus Blue Jackets
2025-10-24,7:00 PM,SJS,San Jose Sharks,NJD,New Jersey Devils
2025-10-24,8:00 PM,CGY,Calgary Flames,WPG,Winnipeg Jets
2025-10-25,3:00 PM,COL,Colorado Avalanche,BOS,Boston Bruins
2025-10-25,8:00 PM,CAR,Carolina Hurricanes,DAL,Dallas Stars
2025-10-25,7:00 PM,STL,St. Louis Blues,DET,Detroit Red Wings
2025-10-25,6:00 PM,VGK,Vegas Golden Knights,FLA,Florida Panthers
2025-10-25,6:00 PM,UTA,Utah Mammoth,MIN,Minnesota Wild
2025-10-25,8:00 PM,LAK,Los Angeles Kings,NSH,Nashville Predators
2025-10-25,12:30 PM,NYI,New York Islanders,PHI,Philadelphia Flyers
2025-10-25,7:00 PM,CBJ,Columbus Blue Jackets,PIT,Pittsburgh Penguins
2025-10-25,10:00 PM,EDM,Edmonton Oilers,SEA,Seattle Kraken
2025-10-25,5:00 PM,ANA,Anaheim Ducks,TBL,Tampa Bay Lightning
2025-10-25,7:00 PM,BUF,Buffalo Sabres,TOR,Toronto Maple Leafs
2025-10-25,7:00 PM,MTL,Montreal Canadiens,VAN,Vancouver Canucks
2025-10-25,7:00 PM,OTT,Ottawa Senators,WSH,Washington Capitals
2025-10-26,8:00 PM,NYR,New York Rangers,CGY,Calgary Flames
2025-10-26,7:00 PM,LAK,Los Angeles Kings,CHI,Chicago Blackhawks
2025-10-26,6:00 PM,SJS,San Jose Sharks,MIN,Minnesota Wild
2025-10-26,1:00 PM,COL,Colorado Avalanche,NJD,New Jersey Devils
2025-10-26,7:00 PM,DAL,Dallas Stars,NSH,Nashville Predators
2025-10-26,5:00 PM,VGK,Vegas Golden Knights,TBL,Tampa Bay Lightning
2025-10-26,10:00 PM,EDM,Edmonton Oilers,VAN,Vancouver Canucks
2025-10-26,6:00 PM,UTA,Utah Mammoth,WPG,Winnipeg Jets
2025-10-27,7:30 PM,BOS,Boston Bruins,OTT,Ottawa Senators
2025-10-27,7:00 PM,STL,St. Louis Blues,PIT,Pittsburgh Penguins
2025-10-28,7:15 PM,NYI,New York Islanders,BOS,Boston Bruins
2025-10-28,6:45 PM,CBJ,Columbus Blue Jackets,BUF,Buffalo Sabres
2025-10-28,6:30 PM,VGK,Vegas Golden Knights,CAR,Carolina Hurricanes
2025-10-28,8:45 PM,OTT,Ottawa Senators,CHI,Chicago Blackhawks
2025-10-28,9:00 PM,NJD,New Jersey Devils,COL,Colorado Avalanche
2025-10-28,8:30 PM,WSH,Washington Capitals,DAL,Dallas Stars
2025-10-28,9:30 PM,UTA,Utah Mammoth,EDM,Edmonton Oilers
2025-10-28,7:00 PM,ANA,Anaheim Ducks,FLA,Florida Panthers
2025-10-28,8:00 PM,WPG,Winnipeg Jets,MIN,Minnesota Wild
2025-10-28,7:45 PM,TBL,Tampa Bay Lightning,NSH,Nashville Predators
2025-10-28,6:00 PM,PIT,Pittsburgh Penguins,PHI,Philadelphia Flyers
2025-10-28,10:30 PM,MTL,Montreal Canadiens,SEA,Seattle Kraken
2025-10-28,11:00 PM,LAK,Los Angeles Kings,SJS,San Jose Sharks
2025-10-28,8:15 PM,DET,Detroit Red Wings,STL,St. Louis Blues
2025-10-28,6:15 PM,CGY,Calgary Flames,TOR,Toronto Maple Leafs
2025-10-28,10:00 PM,NYR,New York Rangers,VAN,Vancouver Canucks
2025-10-29,7:30 PM,TOR,Toronto Maple Leafs,CBJ,Columbus Blue Jackets
2025-10-30,7:00 PM,BUF,Buffalo Sabres,BOS,Boston Bruins
2025-10-30,7:30 PM,NYI,New York Islanders,CAR,Carolina Hurricanes
2025-10-30,9:00 PM,NYR,New York Rangers,EDM,Edmonton Oilers
2025-10-30,10:30 PM,DET,Detroit Red Wings,LAK,Los Angeles Kings
2025-10-30,8:00 PM,PIT,Pittsburgh Penguins,MIN,Minnesota Wild
2025-10-30,7:00 PM,CGY,Calgary Flames,OTT,Ottawa Senators
2025-10-30,7:00 PM,NSH,Nashville Predators,PHI,Philadelphia Flyers
2025-10-30,10:00 PM,NJD,New Jersey Devils,SJS,San Jose Sharks
2025-10-30,8:00 PM,VAN,Vancouver Canucks,STL,St. Louis Blues
2025-10-30,7:00 PM,DAL,Dallas Stars,TBL,Tampa Bay Lightning
2025-10-30,8:00 PM,CHI,Chicago Blackhawks,WPG,Winnipeg Jets
2025-10-31,10:00 PM,DET,Detroit Red Wings,ANA,Anaheim Ducks
2025-10-31,4:00 PM,COL,Colorado Avalanche,VGK,Vegas Golden Knights
2025-10-31,7:00 PM,NYI,New York Islanders,WSH,Washington Capitals
2025-11-01,1:00 PM,CAR,Carolina Hurricanes,BOS,Boston Bruins
2025-11-01,7:00 PM,WSH,Washington Capitals,BUF,Buffalo Sabres
2025-11-01,7:00 PM,STL,St. Louis Blues,CBJ,Columbus Blue Jackets
2025-11-01,10:00 PM,CHI,Chicago Blackhawks,EDM,Edmonton Oilers
2025-11-01,6:00 PM,DAL,Dallas Stars,FLA,Florida Panthers
2025-11-01,9:00 PM,NJD,New Jersey Devils,LAK,Los Angeles Kings
2025-11-01,7:00 PM,VAN,Vancouver Canucks,MIN,Minnesota Wild
2025-11-01,7:00 PM,OTT,Ottawa Senators,MTL,Montreal Canadiens
2025-11-01,3:30 PM,CGY,Calgary Flames,NSH,Nashville Predators
2025-11-01,7:00 PM,TOR,Toronto Maple Leafs,PHI,Philadelphia Flyers
2025-11-01,10:00 PM,NYR,New York Rangers,SEA,Seattle Kraken
2025-11-01,4:00 PM,COL,Colorado Avalanche,SJS,San Jose Sharks
2025-11-01,3:00 PM,PIT,Pittsburgh Penguins,WPG,Winnipeg Jets
2025-11-02,8:00 PM,NJD,New Jersey Devils,ANA,Anaheim Ducks
2025-11-02,5:00 PM,CBJ,Columbus Blue Jackets,NYI,New York Islanders
2025-11-02,7:00 PM,CGY,Calgary Flames,PHI,Philadelphia Flyers
2025-11-02,8:00 PM,DET,Detroit Red Wings,SJS,San Jose Sharks
2025-11-02,3:30 PM,TBL,Tampa Bay Lightning,UTA,Utah Mammoth
2025-11-03,8:30 PM,VAN,Vancouver Canucks,NSH,Nashville Predators
2025-11-03,10:00 PM,CHI,Chicago Blackhawks,SEA,Seattle Kraken
2025-11-03,8:30 PM,EDM,Edmonton Oilers,STL,St. Louis Blues
2025-11-03,7:30 PM,PIT,Pittsburgh Penguins,TOR,Toronto Maple Leafs
2025-11-04,10:00 PM,FLA,Florida Panthers,ANA,Anaheim Ducks
2025-11-04,7:00 PM,UTA,Utah Mammoth,BUF,Buffalo Sabres
2025-11-04,9:30 PM,TBL,Tampa Bay Lightning,COL,Colorado Avalanche
2025-11-04,8:00 PM,EDM,Edmonton Oilers,DAL,Dallas Stars
2025-11-04,10:30 PM,WPG,Winnipeg Jets,LAK,Los Angeles Kings
2025-11-04,8:00 PM,NSH,Nashville Predators,MIN,Minnesota Wild
2025-11-04,7:00 PM,PHI,Philadelphia Flyers,MTL,Montreal Canadiens
2025-11-04,7:00 PM,BOS,Boston Bruins,NYI,New York Islanders
2025-11-04,7:00 PM,CAR,Carolina Hurricanes,NYR,New York Rangers
2025-11-04,10:00 PM,DET,Detroit Red Wings,VGK,Vegas Golden Knights
2025-11-05,9:30 PM,CBJ,Columbus Blue Jackets,CGY,Calgary Flames
2025-11-05,10:00 PM,SJS,San Jose Sharks,SEA,Seattle Kraken
2025-11-05,7:00 PM,UTA,Utah Mammoth,TOR,Toronto Maple Leafs
2025-11-05,10:00 PM,CHI,Chicago Blackhawks,VAN,Vancouver Canucks
2025-11-05,7:30 PM,STL,St. Louis Blues,WSH,Washington Capitals
2025-11-06,7:00 PM,OTT,Ottawa Senators,BOS,Boston Bruins
2025-11-06,7:00 PM,STL,St. Louis Blues,BUF,Buffalo Sabres
2025-11-06,7:00 PM,MIN,Minnesota Wild,CAR,Carolina Hurricanes
2025-11-06,8:00 PM,ANA,Anaheim Ducks,DAL,Dallas Stars
2025-11-06,10:00 PM,FLA,Florida Panthers,LAK,Los Angeles Kings
2025-11-06,7:00 PM,MTL,Montreal Canadiens,NJD,New Jersey Devils
2025-11-06,8:00 PM,PHI,Philadelphia Flyers,NSH,Nashville Predators
2025-11-06,7:30 PM,WSH,Washington Capitals,PIT,Pittsburgh Penguins
2025-11-06,10:00 PM,TBL,Tampa Bay Lightning,VGK,Vegas Golden Knights
2025-11-07,9:00 PM,CHI,Chicago Blackhawks,CGY,Calgary Flames
2025-11-07,7:00 PM,NYR,New York Rangers,DET,Detroit Red Wings
2025-11-07,7:00 PM,MIN,Minnesota Wild,NYI,New York Islanders
2025-11-07,10:00 PM,WPG,Winnipeg Jets,SJS,San Jose Sharks
2025-11-08,7:00 PM,BUF,Buffalo Sabres,CAR,Carolina Hurricanes
2025-11-08,10:00 PM,COL,Colorado Avalanche,EDM,Edmonton Oilers
2025-11-08,7:00 PM,UTA,Utah Mammoth,MTL,Montreal Canadiens
2025-11-08,12:30 PM,PIT,Pittsburgh Penguins,NJD,New Jersey Devils
2025-11-08,3:30 PM,DAL,Dallas Stars,NSH,Nashville Predators
2025-11-08,7:00 PM,NYI,New York Islanders,NYR,New York Rangers
2025-11-08,1:00 PM,OTT,Ottawa Senators,PHI,Philadelphia Flyers
2025-11-08,10:00 PM,FLA,Florida Panthers,SJS,San Jose Sharks
2025-11-08,7:00 PM,SEA,Seattle Kraken,STL,St. Louis Blues
2025-11-08,7:00 PM,WSH,Washington Capitals,TBL,Tampa Bay Lightning
2025-11-08,7:00 PM,BOS,Boston Bruins,TOR,Toronto Maple Leafs
2025-11-08,10:00 PM,CBJ,Columbus Blue Jackets,VAN,Vancouver Canucks
2025-11-08,10:00 PM,ANA,Anaheim Ducks,VGK,Vegas Golden Knights
2025-11-09,10:00 PM,WPG,Winnipeg Jets,ANA,Anaheim Ducks
2025-11-09,7:00 PM,SEA,Seattle Kraken,DAL,Dallas Stars
2025-11-09,1:00 PM,CHI,Chicago Blackhawks,DET,Detroit Red Wings
2025-11-09,8:00 PM,CGY,Calgary Flames,MIN,Minnesota Wild
2025-11-09,7:00 PM,UTA,Utah Mammoth,OTT,Ottawa Senators
2025-11-09,2:00 PM,LAK,Los Angeles Kings,PIT,Pittsburgh Penguins
2025-11-09,7:00 PM,CAR,Carolina Hurricanes,TOR,Toronto Maple Leafs
2025-11-09,10:00 PM,COL,Colorado Avalanche,VAN,Vancouver Canucks
2025-11-10,8:30 PM,CBJ,Columbus Blue Jackets,EDM,Edmonton Oilers
2025-11-10,7:00 PM,NYI,New York Islanders,NJD,New Jersey Devils
2025-11-10,7:00 PM,NSH,Nashville Predators,NYR,New York Rangers
2025-11-10,10:00 PM,FLA,Florida Panthers,VGK,Vegas Golden Knights
2025-11-11,7:00 PM,TOR,Toronto Maple Leafs,BOS,Boston Bruins
2025-11-11,7:00 PM,WSH,Washington Capitals,CAR,Carolina Hurricanes
2025-11-11,9:30 PM,ANA,Anaheim Ducks,COL,Colorado Avalanche
2025-11-11,8:00 PM,SJS,San Jose Sharks,MIN,Minnesota Wild
2025-11-11,7:00 PM,LAK,Los Angeles Kings,MTL,Montreal Canadiens
2025-11-11,7:00 PM,DAL,Dallas Stars,OTT,Ottawa Senators
2025-11-11,10:00 PM,CBJ,Columbus Blue Jackets,SEA,Seattle Kraken
2025-11-11,8:00 PM,CGY,Calgary Flames,STL,St. Louis Blues
2025-11-11,10:00 PM,WPG,Winnipeg Jets,VAN,Vancouver Canucks
2025-11-12,9:30 PM,NJD,New Jersey Devils,CHI,Chicago Blackhawks
2025-11-12,7:30 PM,EDM,Edmonton Oilers,PHI,Philadelphia Flyers
2025-11-12,7:00 PM,NYR,New York Rangers,TBL,Tampa Bay Lightning
2025-11-12,9:00 PM,BUF,Buffalo Sabres,UTA,Utah Mammoth
2025-11-13,7:30 PM,EDM,Edmonton Oilers,CBJ,Columbus Blue Jackets
2025-11-13,9:00 PM,SJS,San Jose Sharks,CGY,Calgary Flames
2025-11-13,9:00 PM,BUF,Buffalo Sabres,COL,Colorado Avalanche
2025-11-13,7:00 PM,ANA,Anaheim Ducks,DET,Detroit Red Wings
2025-11-13,7:00 PM,WSH,Washington Capitals,FLA,Florida Panthers
2025-11-13,7:00 PM,DAL,Dallas Stars,MTL,Montreal Canadiens
2025-11-13,7:00 PM,BOS,Boston Bruins,OTT,Ottawa Senators
2025-11-13,10:00 PM,WPG,Winnipeg Jets,SEA,Seattle Kraken
2025-11-13,7:00 PM,LAK,Los Angeles Kings,TOR,Toronto Maple Leafs
2025-11-13,10:00 PM,NYI,New York Islanders,VGK,Vegas Golden Knights
2025-11-14,7:00 PM,VAN,Vancouver Canucks,CAR,Carolina Hurricanes
2025-11-14,8:00 PM,PHI,Philadelphia Flyers,STL,St. Louis Blues
2025-11-14,9:00 PM,NYI,New York Islanders,UTA,Utah Mammoth
2025-11-15,7:00 PM,EDM,Edmonton Oilers,CAR,Carolina Hurricanes
2025-11-15,7:00 PM,NYR,New York Rangers,CBJ,Columbus Blue Jackets
2025-11-15,10:00 PM,WPG,Winnipeg Jets,CGY,Calgary Flames
2025-11-15,7:00 PM,TOR,Toronto Maple Leafs,CHI,Chicago Blackhawks
2025-11-15,8:00 PM,PHI,Philadelphia Flyers,DAL,Dallas Stars
2025-11-15,7:00 PM,BUF,Buffalo Sabres,DET,Detroit Red Wings
2025-11-15,5:00 PM,TBL,Tampa Bay Lightning,FLA,Florida Panthers
2025-11-15,6:00 PM,ANA,Anaheim Ducks,MIN,Minnesota Wild
2025-11-15,7:00 PM,BOS,Boston Bruins,MTL,Montreal Canadiens
2025-11-15,7:00 PM,LAK,Los Angeles Kings,OTT,Ottawa Senators
2025-11-15,10:00 PM,SJS,San Jose Sharks,SEA,Seattle Kraken
