name,team,GP,SOG,SOG_per_game,SOG_list,SOG_differential,SOG_variance
Nazem Kadri,CGY,"['4', '3', '2', '1']",10.0,2.5,"[10.0, 6.0, 3.0, 2.0]","[1.0, 3.0, 4.0]",1.56
Justin Kirkland,CGY,"['2', '1']",0.0,0.0,[0.0],[],
Adam Klapka,CGY,"['4', '3', '2', '1']",3.0,0.75,"[3.0, 1.0, 0.0]","[1.0, 2.0]",0.25
Ryan Lomberg,CGY,"['4', '3', '2', '1']",2.0,0.5,"[2.0, 1.0, 0.0]","[1.0, 1.0]",0.0
Yegor Sharangovich,CGY,"['4', '3', '2', '1']",8.0,2.0,"[8.0, 4.0, 1.0, 0.0]","[1.0, 3.0, 4.0]",1.56
Connor Zary,CGY,"['4', '3', '2', '1']",8.0,2.0,"[8.0, 6.0, 4.0, 3.0]","[1.0, 2.0, 2.0]",0.22
Rasmus Andersson,CGY,"['4', '3', '2', '1']",8.0,2.0,"[8.0, 4.0, 2.0]","[2.0, 4.0]",1.0
Kevin Bahl,CGY,"['4', '3', '2', '1']",2.0,0.5,"[2.0, 1.0]",[1.0],0.0
Jake Bean,CGY,"['2', '1']",0.0,0.0,[0.0],[],
Joel Hanley,CGY,"['4', '3', '2', '1']",1.0,0.25,"[1.0, 0.0]",[1.0],0.0
Daniil Miromanov,CGY,['1'],0.0,0.0,[0.0],[],
Brayden Pachal,CGY,"['3', '2', '1']",3.0,1.0,"[3.0, 2.0, 1.0]","[1.0, 1.0]",0.0
Zayne Parekh,CGY,"['2', '1']",3.0,1.5,"[3.0, 2.0]",[1.0],0.0
MacKenzie Weegar,CGY,"['4', '3', '2', '1']",4.0,1.0,"[4.0, 2.0, 1.0]","[1.0, 2.0]",0.25
