Name,Team,Hrs,Hits,RBI,HRpg,fHRpg,Hpg,fHpg,RBIpg,fRBIpg,HR24,HR24pg,fHR24pg
Iván Herrera,St. Louis Cardinals,8,48,36,0.19,1/5,1.143,8/7,0.857,6/7,5,0.07,0
Masyn Winn,St. Louis Cardinals,7,68,29,0.1,1/7,0.971,1,0.414,2/5,15,0.1,1/7
Nolan Gorman,St. Louis Cardinals,6,34,21,0.113,1/7,0.642,2/3,0.396,2/5,19,0.18,1/6
Brendan Donovan,St. Louis Cardinals,5,87,29,0.068,0,1.176,7/6,0.392,2/5,14,0.09,1/7
Pedro Pagés,St. Louis Cardinals,5,41,22,0.081,1/7,0.661,2/3,0.355,1/3,7,0.1,1/7
Victor Scott II,St. Louis Cardinals,3,55,24,0.04,0,0.733,5/7,0.32,1/3,2,0.04,0
Jordan Walker,St. Louis Cardinals,3,37,23,0.055,0,0.673,2/3,0.418,3/7,5,0.1,1/7
José Ramírez,Cleveland Guardians,13,92,38,0.169,1/6,1.195,6/5,0.494,1/2,39,0.25,1/4
Kyle Manzardo,Cleveland Guardians,12,51,32,0.174,1/6,0.739,3/4,0.464,3/7,5,0.09,1/7
Bo Naylor,Cleveland Guardians,9,31,20,0.15,1/7,0.517,1/2,0.333,1/3,13,0.11,1/7
Carlos Santana,Cleveland Guardians,9,61,37,0.122,1/7,0.824,5/6,0.5,1/2,23,0.15,1/7
Daniel Schneemann,Cleveland Guardians,8,41,21,0.129,1/7,0.661,2/3,0.339,1/3,5,0.07,0
Steven Kwan,Cleveland Guardians,6,90,24,0.079,1/7,1.184,7/6,0.316,1/3,14,0.11,1/7
Gabriel Arias,Cleveland Guardians,5,57,29,0.068,0,0.77,3/4,0.392,2/5,3,0.06,0
Angel Martínez,Cleveland Guardians,5,51,25,0.079,1/7,0.81,4/5,0.397,2/5,3,0.07,0
Austin Hedges,Cleveland Guardians,3,7,4,0.103,1/7,0.241,1/4,0.138,1/7,2,0.03,0
Nolan Jones,Cleveland Guardians,3,38,20,0.042,0,0.535,4/7,0.282,2/7,3,0.04,0
Lane Thomas,Cleveland Guardians,3,18,10,0.094,1/7,0.562,4/7,0.312,1/3,15,0.12,1/7,7,0.13,1/7,8,0.1,1/7
Bo Bichette,Toronto Blue Jays,11,93,48,0.138,1/7,1.163,7/6,0.6,3/5,4,0.05,0
Vladimir Guerrero Jr.,Toronto Blue Jays,11,82,40,0.139,1/7,1.038,1,0.506,1/2,30,0.19,1/5
George Springer,Toronto Blue Jays,11,63,38,0.149,1/7,0.851,6/7,0.514,1/2,19,0.13,1/7
Addison Barger,Toronto Blue Jays,8,49,24,0.143,1/7,0.875,6/7,0.429,3/7,7,0.1,1/7
Daulton Varsho,Toronto Blue Jays,8,19,20,0.333,1/3,0.792,4/5,0.833,5/6,18,0.13,1/7
Alejandro Kirk,Toronto Blue Jays,7,75,38,0.106,1/7,1.136,8/7,0.576,4/7,5,0.05,0
Anthony Santander,Toronto Blue Jays,6,33,18,0.12,1/7,0.66,2/3,0.36,1/3,44,0.28,2/7
Ernie Clement,Toronto Blue Jays,4,77,20,0.051,0,0.987,1,0.256,1/4,12,0.09,1/7
Andrés Giménez,Toronto Blue Jays,4,36,14,0.074,0,0.667,2/3,0.259,1/4,9,0.06,0
Nathan Lukes,Toronto Blue Jays,4,36,24,0.073,0,0.655,2/3,0.436,3/7,1,0.05,0
Rafael Devers,Boston Red Sox,15,83,63,0.207,1/5,1.012,1,0.768,3/4,74,58,0.205,1/5,1.014,1,0.795,4/5,9,5,0.222,1/5,1.0,1,0.556,4/7,28,0.2,1/5
Wilyer Abreu,Boston Red Sox,13,57,36,0.186,1/5,0.814,4/5,0.514,1/2,15,0.11,1/7
Alex Bregman,Boston Red Sox,11,59,35,0.216,1/5,1.157,7/6,0.686,2/3,26,0.18,1/6
Trevor Story,Boston Red Sox,11,70,41,0.141,1/7,0.897,6/7,0.526,1/2,2,0.08,1/7
Ceddanne Rafaela,Boston Red Sox,8,65,30,0.104,1/7,0.844,5/6,0.39,2/5,15,0.1,1/7
Kristian Campbell,Boston Red Sox,6,51,21,0.09,1/7,0.761,3/4,0.313,1/3,0,0,0
Carlos Narváez,Boston Red Sox,6,56,23,0.098,1/7,0.918,6/7,0.377,2/5,0,0.0,0
Jarren Duran,Boston Red Sox,5,87,38,0.062,0,1.074,1,0.469,1/2,21,0.13,1/7
Rob Refsnyder,Boston Red Sox,5,25,14,0.143,1/7,0.714,5/7,0.4,2/5,11,0.12,1/7
Abraham Toro,Boston Red Sox,5,37,13,0.132,1/7,0.974,1,0.342,1/3,6,0.06,0
Byron Buxton,Minnesota Twins,17,68,48,0.266,2/7,1.062,1,0.75,3/4,18,0.18,1/6
Trevor Larnach,Minnesota Twins,12,73,39,0.158,1/6,0.961,1,0.513,1/2,15,0.13,1/7
Kody Clemens,Minnesota Twins,9,26,19,0.17,1/6,0.491,1/2,0.358,1/3,26,19,0.196,1/5,0.565,4/7,0.413,2/5,0,0,0.0,0,0.0,0,0.0,0,5,0.11,1/7
Brooks Lee,Minnesota Twins,8,64,30,0.125,1/7,1.0,1,0.469,1/2,3,0.06,0
Harrison Bader,Minnesota Twins,7,49,27,0.097,1/7,0.681,2/3,0.375,2/5,12,0.08,1/7
Willi Castro,Minnesota Twins,7,56,19,0.119,1/7,0.949,1,0.322,1/3,12,0.08,1/7
Matt Wallner,Minnesota Twins,7,28,12,0.171,1/6,0.683,2/3,0.293,2/7,13,0.17,1/6
Carlos Correa,Minnesota Twins,6,67,26,0.086,1/7,0.957,1,0.371,2/5,14,0.16,1/6
Ty France,Minnesota Twins,6,76,42,0.076,1/7,0.962,1,0.532,1/2,13,0.09,1/7,5,0.1,1/7,8,0.09,1/7
Ryan Jeffers,Minnesota Twins,6,53,29,0.094,1/7,0.828,5/6,0.453,3/7,21,0.17,1/6
Riley Greene,Detroit Tigers,17,91,61,0.212,1/5,1.137,8/7,0.762,3/4,24,0.18,1/6
Spencer Torkelson,Detroit Tigers,17,61,50,0.224,1/5,0.803,4/5,0.658,2/3,10,0.11,1/7
Kerry Carpenter,Detroit Tigers,14,64,29,0.187,1/5,0.853,6/7,0.387,2/5,18,0.21,1/5
Javier Báez,Detroit Tigers,9,67,36,0.13,1/7,0.971,1,0.522,1/2,6,0.07,0
Dillon Dingler,Detroit Tigers,8,58,34,0.129,1/7,0.935,1,0.548,4/7,1,0.04,0
Gleyber Torres,Detroit Tigers,8,70,40,0.116,1/7,1.014,1,0.58,4/7,15,0.1,1/7
Colt Keith,Detroit Tigers,6,50,24,0.085,1/7,0.704,5/7,0.338,1/3,13,0.09,1/7
Wenceel Pérez,Detroit Tigers,6,25,15,0.24,1/4,1.0,1,0.6,3/5,9,0.08,1/7
Zach McKinstry,Detroit Tigers,4,67,24,0.055,0,0.918,6/7,0.329,1/3,4,0.03,0
Trey Sweeney,Detroit Tigers,4,45,23,0.057,0,0.643,2/3,0.329,1/3,4,0.11,1/7
Kyle Schwarber,Philadelphia Phillies,24,73,55,0.296,2/7,0.901,6/7,0.679,2/3,38,0.25,1/4
Bryce Harper,Philadelphia Phillies,9,55,34,0.158,1/6,0.965,1,0.596,3/5,30,0.21,1/5
Max Kepler,Philadelphia Phillies,9,49,27,0.125,1/7,0.681,2/3,0.375,2/5,8,0.08,1/7
Trea Turner,Philadelphia Phillies,9,96,35,0.114,1/7,1.215,6/5,0.443,3/7,21,0.17,1/6
Nick Castellanos,Philadelphia Phillies,8,86,41,0.1,1/7,1.075,1,0.512,1/2,23,0.14,1/7
Alec Bohm,Philadelphia Phillies,7,85,36,0.09,1/7,1.09,8/7,0.462,3/7,15,0.1,1/7
J.T. Realmuto,Philadelphia Phillies,5,59,27,0.076,1/7,0.894,6/7,0.409,2/5,14,0.14,1/7
Bryson Stott,Philadelphia Phillies,5,65,34,0.068,0,0.89,6/7,0.466,1/2,11,0.07,0
Brandon Marsh,Philadelphia Phillies,2,40,17,0.033,0,0.667,2/3,0.283,2/7,16,0.12,1/7
Edmundo Sosa,Philadelphia Phillies,2,31,16,0.049,0,0.756,3/4,0.39,2/5,7,0.08,1/7
Matt Olson,Atlanta Braves,15,76,52,0.188,1/5,0.95,1,0.65,2/3,29,0.18,1/6
Austin Riley,Atlanta Braves,12,88,41,0.15,1/7,1.1,8/7,0.512,1/2,19,0.17,1/6
Marcell Ozuna,Atlanta Braves,11,68,40,0.143,1/7,0.883,6/7,0.519,1/2,39,0.24,1/4
Ronald Acuña Jr.,Atlanta Braves,9,41,18,0.29,2/7,1.323,4/3,0.581,4/7,4,0.08,1/7
Drake Baldwin,Atlanta Braves,9,45,26,0.167,1/6,0.833,5/6,0.481,1/2,0,0,0
Sean Murphy,Atlanta Braves,9,34,22,0.188,1/5,0.708,5/7,0.458,3/7,10,0.14,1/7
Ozzie Albies,Atlanta Braves,6,68,28,0.075,0,0.85,6/7,0.35,1/3,10,0.1,1/7
Michael Harris II,Atlanta Braves,6,65,43,0.075,0,0.812,4/5,0.537,4/7,16,0.15,1/7
Eli White,Atlanta Braves,3,41,16,0.048,0,0.661,2/3,0.258,1/4,1,0.03,0
Jarred Kelenic,Atlanta Braves,2,10,2,0.087,1/7,0.435,3/7,0.087,1/7,15,0.11,1/7
Heliot Ramos,San Francisco Giants,13,86,44,0.165,1/6,1.089,8/7,0.557,4/7,22,0.18,1/6
Matt Chapman,San Francisco Giants,12,56,30,0.185,1/6,0.862,6/7,0.462,3/7,27,0.18,1/6
Wilmer Flores,San Francisco Giants,11,67,54,0.141,1/7,0.859,6/7,0.692,2/3,4,0.06,0
Willy Adames,San Francisco Giants,9,64,35,0.113,1/7,0.8,4/5,0.438,3/7,32,0.2,1/5
Mike Yastrzemski,San Francisco Giants,7,61,27,0.095,1/7,0.824,5/6,0.365,1/3,18,0.13,1/7
Jung Hoo Lee,San Francisco Giants,6,74,34,0.077,1/7,0.949,1,0.436,3/7,2,0.05,0
Luis Matos,San Francisco Giants,4,12,7,0.167,1/6,0.5,1/2,0.292,2/7,5,0.11,1/7
Casey Schmitt,San Francisco Giants,4,27,15,0.118,1/7,0.794,4/5,0.441,3/7,6,0.15,1/7
Rafael Devers,San Francisco Giants,2,83,63,0.207,1/5,1.012,1,0.768,3/4,74,58,0.205,1/5,1.014,1,0.795,4/5,9,5,0.222,1/5,1.0,1,0.556,4/7,28,0.2,1/5
Tyler Fitzgerald,San Francisco Giants,2,41,10,0.035,0,0.719,5/7,0.175,1/6,15,0.16,1/6
Sam Huff,San Francisco Giants,2,11,4,0.1,1/7,0.55,4/7,0.2,1/5,0,0.0,0
Christian Koss,San Francisco Giants,2,19,12,0.054,0,0.514,1/2,0.324,1/3,0,0,0
Miguel Vargas,Chicago White Sox,10,67,34,0.128,1/7,0.859,6/7,0.436,3/7,5,0.07,0,3,0.1,1/7,2,0.05,0
